Gene_ID	Annotation
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05190.1	GO:0009570
C1G05190.1	GO:0009941
C1G05200.1	GO:0005576
C1G05205.1	GO:0005634
C1G05220.1	GO:0005739
C1G05230.1	GO:0005634
C1G05240.1	GO:0009506
C1G05240.1	GO:0005576
C1G05250.1	GO:0005576
C1G05260.1	GO:0005576
C1G05270.1	GO:0005886
C1G05290.1	GO:0005634
C1G05300.1	GO:0005886
C1G05310.1	GO:0005576
C1G05320.1	GO:0005737
C1G05330.1	GO:0005737
C1G05340.1	GO:0005634
C1G05350.1	GO:0005737
C1G05350.1	GO:0005829
C1G05360.1	GO:0009507
C1G05370.1	GO:0005634
C1G05380.1	GO:0005634
C1G05385.1	GO:0009507
C1G05385.1	GO:0009507
C1G05400.1	GO:0005739
C1G05410.1	GO:0005634
C1G05420.1	GO:0005634
C1G05440.1	GO:0005634
C1G05450.2	GO:0005886
C1G05460.1	GO:0005737
C1G05470.1	GO:0005737
C1G05470.1	GO:0010051
C1G05490.1	GO:0005634
C1G05500.1	GO:0009506
C1G05500.1	GO:0005886
C1G05500.1	GO:0005886
C1G05520.1	GO:0005829
C1G05520.1	GO:0005737
C1G05530.1	GO:0005794
C1G05530.1	GO:0005737
C1G05540.1	GO:0005739
C1G05560.1	GO:0005794
C1G05560.1	GO:0009507
C1G05570.1	GO:0009506
C1G05570.1	GO:0005886
C1G05570.1	GO:0005886
C1G05580.1	GO:0005886
C1G05590.1	GO:0005576
C1G05600.1	GO:0005739
C1G05610.1	GO:0009507
C1G05615.1	GO:0005634
C1G05620.1	GO:0005737
C1G05620.1	GO:0005829
C1G05630.1	GO:0005737
C1G05650.1	GO:0005576
C1G05660.1	GO:0005576
C1G05670.1	GO:0005794
C1G05670.1	GO:0005739
C1G05670.1	GO:0005783
C1G05700.1	GO:0005886
C1G05710.2	GO:0005634
C1G05730.1	GO:0005739
C1G05740.1	GO:0005739
C1G05750.1	GO:0005739
C1G05780.1	GO:0009507
C1G05785.1	GO:0005886
C1G05790.1	GO:0005886
C1G05800.1	GO:0009507
C1G05805.1	GO:0005634
C1G05820.1	GO:0005886
C1G05830.1	GO:0005634
C1G05840.1	GO:0005886
C1G05850.1	GO:0005576
C1G05860.1	GO:0009507
C1G05870.1	GO:0005634
C1G05880.2	GO:0005634
C1G05890.2	GO:0005737
C1G05894.1	GO:0005634
C1G05900.2	GO:0005739
C1G05910.1	GO:0005634
C1G05920.1	GO:0005634
C1G05930.1	GO:0005634
C1G05940.1	GO:0005774
C1G05940.1	GO:0005774
C1G05940.1	GO:0005774
C1G05940.1	GO:0009507
C1G05950.1	GO:0005634
C1G06000.1	GO:0005634
C1G06020.1	GO:0005737
C1G06030.1	GO:0005737
C1G06030.1	GO:0009506
C1G06040.1	GO:0005634
C1G06050.1	GO:0005634
C1G06070.1	GO:0005634
C1G06100.1	GO:0005739
C1G06110.1	GO:0005634
C1G06130.1	GO:0005739
C1G06130.1	GO:0009507
C1G06135.1	GO:0005576
